cluster_id,int_year,int_n_heat_waves,int_days_in_heat_wave,f_year_hw_tmax_vl,f_year_hw_tmin_vl,dt_first_hw_start_date,dt_last_hw_end_date
agg_prov-08_cluster-16,2006,2,6,1.35327981507191,0.606062498399202,2006-07-23,2006-07-31
agg_prov-08_cluster-16,2012,1,3,0.923985724308845,0.95056801380783,2012-08-22,2012-08-24
agg_prov-08_cluster-16,2015,1,5,0.486419397144766,1.67313536801413,2015-07-20,2015-07-24
agg_prov-08_cluster-16,2017,1,4,1.44666496104054,1.37827675243385,2017-08-02,2017-08-05
agg_prov-08_cluster-16,2018,1,8,2.22032283096814,1.85047147595721,2018-07-30,2018-08-06
agg_prov-08_cluster-16,2020,2,6,1.07656449667593,0.637582054231454,2020-07-31,2020-08-11
agg_prov-08_cluster-16,2021,1,4,2.5489235035699,1.05920811463835,2021-08-12,2021-08-15
agg_prov-08_cluster-16,2022,2,23,2.21591265211759,1.59178485573042,2022-07-15,2022-08-14
agg_prov-08_cluster-16,2023,1,12,2.00553362198492,1.84420379782347,2023-08-14,2023-08-25
agg_prov-08_cluster-16,2024,1,13,1.0886241100374,1.32580580372962,2024-08-01,2024-08-13
agg_prov-08_cluster-17,2017,1,4,1.37589773658397,1.39660975292779,2017-08-02,2017-08-05
agg_prov-08_cluster-17,2018,1,8,2.18533346561181,1.88758818244163,2018-07-30,2018-08-06
agg_prov-08_cluster-17,2020,1,3,0.386716607812142,0.366720624383921,2020-08-09,2020-08-11
agg_prov-08_cluster-17,2021,1,5,2.63757305628789,1.16733807650139,2021-08-12,2021-08-16
agg_prov-08_cluster-17,2022,3,26,2.33355130603819,1.76138197015014,2022-07-15,2022-08-14
agg_prov-08_cluster-17,2023,1,7,3.34547935942926,3.00346287249503,2023-08-19,2023-08-25
agg_prov-08_cluster-17,2024,1,13,0.947786482983138,1.26653789209178,2024-08-01,2024-08-13
agg_prov-08_cluster-18,2015,1,4,0.544146005584437,0.843368223108925,2015-07-15,2015-07-18
agg_prov-08_cluster-18,2017,1,4,2.48762940352037,1.83252962813474,2017-08-02,2017-08-05
agg_prov-08_cluster-18,2018,1,7,1.73968615367749,1.67808828829793,2018-07-31,2018-08-06
agg_prov-08_cluster-18,2020,1,3,0.197347973185136,0.569100427005139,2020-08-09,2020-08-11
agg_prov-08_cluster-18,2021,1,4,3.34532739613638,1.22121800807396,2021-08-12,2021-08-15
agg_prov-08_cluster-18,2022,3,21,2.69213290861452,2.0066052519573,2022-07-15,2022-08-14
agg_prov-08_cluster-18,2023,1,7,3.37413179339057,2.75536035235988,2023-08-19,2023-08-25
agg_prov-08_cluster-18,2024,1,7,1.15577957703912,1.23397070219036,2024-08-06,2024-08-12
agg_prov-08_cluster-19,2017,1,4,2.30731565505818,1.597561953748,2017-08-02,2017-08-05
agg_prov-08_cluster-19,2018,1,8,2.18661419945591,1.63547587637618,2018-07-30,2018-08-06
agg_prov-08_cluster-19,2022,2,23,2.3148894148354,1.41123410159369,2022-07-15,2022-08-14
agg_prov-08_cluster-19,2023,1,7,3.32415385607952,2.7186894410004,2023-08-19,2023-08-25
agg_prov-08_cluster-19,2024,1,8,1.09183694564744,1.13317321695528,2024-08-06,2024-08-13
agg_prov-08_cluster-2,2006,1,3,2.07883997865315,1.16224085805627,2006-07-23,2006-07-25
agg_prov-08_cluster-2,2012,1,4,1.93213487418842,0.729123645959973,2012-08-20,2012-08-23
agg_prov-08_cluster-2,2017,1,4,2.09963108147502,1.87114069153209,2017-08-02,2017-08-05
agg_prov-08_cluster-2,2018,1,7,2.22836092703628,2.00147944913687,2018-07-31,2018-08-06
agg_prov-08_cluster-2,2021,1,4,1.79696798114709,1.18797672383484,2021-08-12,2021-08-15
agg_prov-08_cluster-2,2022,3,22,2.03072224420794,1.83315705218539,2022-07-15,2022-08-14
agg_prov-08_cluster-2,2023,1,6,3.29502648459736,3.09247265402165,2023-08-20,2023-08-25
agg_prov-08_cluster-2,2024,1,8,0.967262011743621,1.45778738321866,2024-08-06,2024-08-13
agg_prov-08_cluster-20,2017,1,4,1.63349535164215,1.49725809940146,2017-08-02,2017-08-05
agg_prov-08_cluster-20,2018,1,8,2.29511661686234,1.87003680403951,2018-07-30,2018-08-06
agg_prov-08_cluster-20,2020,1,3,0.347247433091809,0.341464484720689,2020-08-09,2020-08-11
agg_prov-08_cluster-20,2021,1,4,3.31486740119361,1.21937540068338,2021-08-12,2021-08-15
agg_prov-08_cluster-20,2022,2,23,2.35594331439326,1.55303293022157,2022-07-15,2022-08-14
agg_prov-08_cluster-20,2023,1,7,3.36941967018371,2.93705067074827,2023-08-19,2023-08-25
agg_prov-08_cluster-20,2024,1,13,1.02124180886465,1.24148005798873,2024-08-01,2024-08-13
agg_prov-08_cluster-21,2012,1,4,2.92023490838491,2.20800700929004,2012-08-20,2012-08-23
agg_prov-08_cluster-21,2017,1,4,2.16823728393243,1.47291815051585,2017-08-02,2017-08-05
agg_prov-08_cluster-21,2019,1,3,2.53493511817843,0.690655267884741,2019-06-29,2019-07-01
agg_prov-08_cluster-21,2021,1,4,3.26352946053764,1.4848709200494,2021-08-12,2021-08-15
agg_prov-08_cluster-21,2022,1,7,2.10134824661904,0.916126709153454,2022-07-16,2022-07-22
agg_prov-08_cluster-21,2023,1,6,3.14528847645098,2.21796848709813,2023-08-20,2023-08-25
agg_prov-08_cluster-21,2024,1,3,1.27710970620939,1.24087429911983,2024-08-08,2024-08-10
agg_prov-08_cluster-22,2012,1,4,2.65709394793296,1.64229735490977,2012-08-20,2012-08-23
agg_prov-08_cluster-22,2015,2,8,4.39574020980359,1.24827839358237,2015-07-05,2015-07-18
agg_prov-08_cluster-22,2017,1,4,2.53205148687142,1.56783015051109,2017-08-02,2017-08-05
agg_prov-08_cluster-22,2019,1,3,3.14789364082806,0.792102986648085,2019-06-29,2019-07-01
agg_prov-08_cluster-22,2021,1,4,3.97656493587078,1.58440174128208,2021-08-12,2021-08-15
agg_prov-08_cluster-22,2022,1,7,1.90535702638756,0.761628314291378,2022-07-16,2022-07-22
agg_prov-08_cluster-22,2023,1,7,3.32606950958804,2.58728944485383,2023-08-19,2023-08-25
agg_prov-08_cluster-22,2024,1,5,1.19931906260875,1.2836355000937,2024-08-08,2024-08-12
agg_prov-08_cluster-23,2006,1,3,1.81152679278104,1.20547926482783,2006-07-23,2006-07-25
agg_prov-08_cluster-23,2012,1,5,1.7560476598049,1.06712651962811,2012-08-20,2012-08-24
agg_prov-08_cluster-23,2015,1,3,2.7025072843406,0.513619753686536,2015-07-05,2015-07-07
agg_prov-08_cluster-23,2017,1,4,2.22900793616218,1.91841624984093,2017-08-02,2017-08-05
agg_prov-08_cluster-23,2018,1,7,1.27902265026408,1.72087566014445,2018-07-31,2018-08-06
agg_prov-08_cluster-23,2021,1,4,1.67363228807065,1.12040509175226,2021-08-12,2021-08-15
agg_prov-08_cluster-23,2022,3,21,1.85653419256054,1.69564680540615,2022-07-15,2022-08-13
agg_prov-08_cluster-23,2023,1,6,3.26108723814169,3.25617865273048,2023-08-20,2023-08-25
agg_prov-08_cluster-23,2024,1,7,1.03372968534302,1.52018627835974,2024-08-06,2024-08-12
agg_prov-08_cluster-24,2012,1,4,2.01497912799978,1.13211336391592,2012-08-20,2012-08-23
agg_prov-08_cluster-24,2015,2,7,3.55260824048817,0.903203789914443,2015-07-05,2015-07-18
agg_prov-08_cluster-24,2017,1,4,1.78875026156305,1.77197972256134,2017-08-02,2017-08-05
agg_prov-08_cluster-24,2018,1,7,1.90585800078777,1.98663641612527,2018-07-31,2018-08-06
agg_prov-08_cluster-24,2019,1,3,2.60991072446357,1.12708460973897,2019-06-29,2019-07-01
agg_prov-08_cluster-24,2020,1,3,0.585761293346328,0.822270205410007,2020-08-08,2020-08-10
agg_prov-08_cluster-24,2021,1,4,3.64868677633945,1.72290187392294,2021-08-12,2021-08-15
agg_prov-08_cluster-24,2022,2,22,2.05506163619216,1.6781625836525,2022-07-15,2022-08-14
agg_prov-08_cluster-24,2023,1,8,3.00829239263962,2.83199442076258,2023-08-18,2023-08-25
agg_prov-08_cluster-24,2024,1,7,1.05245096339682,1.43259893595176,2024-08-06,2024-08-12
agg_prov-08_cluster-25,2006,2,6,1.24958078434795,0.695945616147336,2006-07-23,2006-07-31
agg_prov-08_cluster-25,2012,1,3,0.907185073360627,0.957954259186427,2012-08-22,2012-08-24
agg_prov-08_cluster-25,2015,1,10,0.388676747619922,1.18681995764238,2015-07-15,2015-07-24
agg_prov-08_cluster-25,2017,1,4,1.27994949244457,1.27789690177786,2017-08-02,2017-08-05
agg_prov-08_cluster-25,2018,1,8,2.08312756694806,1.77576102073406,2018-07-30,2018-08-06
agg_prov-08_cluster-25,2019,1,3,0.383687748362282,1.25142238402723,2019-08-08,2019-08-10
agg_prov-08_cluster-25,2020,2,6,1.13441604505601,0.529183007086677,2020-07-31,2020-08-11
agg_prov-08_cluster-25,2021,1,4,2.27481676412452,0.94597267412847,2021-08-12,2021-08-15
agg_prov-08_cluster-25,2022,2,27,2.12727570272901,1.54811416101597,2022-07-15,2022-08-14
agg_prov-08_cluster-25,2023,1,12,1.96825745141821,1.86126811804683,2023-08-14,2023-08-25
agg_prov-08_cluster-25,2024,1,13,1.09266298560136,1.30723427836538,2024-08-01,2024-08-13
agg_prov-08_cluster-26,2006,1,3,2.034365058275,0.843383015365608,2006-07-23,2006-07-25
agg_prov-08_cluster-26,2017,1,4,2.1220236618171,1.71752833950333,2017-08-02,2017-08-05
agg_prov-08_cluster-26,2018,1,7,2.41876282300749,1.93424387582054,2018-07-31,2018-08-06
agg_prov-08_cluster-26,2021,1,4,2.06739696211619,1.00009262317914,2021-08-12,2021-08-15
agg_prov-08_cluster-26,2022,2,23,2.22405223362086,1.72076950787502,2022-07-15,2022-08-14
agg_prov-08_cluster-26,2023,1,6,3.4267353126738,2.96569944773472,2023-08-20,2023-08-25
agg_prov-08_cluster-26,2024,1,8,0.997183198973687,1.27109926090709,2024-08-06,2024-08-13
agg_prov-08_cluster-27,2012,1,5,2.08446448610147,1.2714896866504,2012-08-20,2012-08-24
agg_prov-08_cluster-27,2015,2,7,3.65331292845099,0.846290501520414,2015-07-05,2015-07-18
agg_prov-08_cluster-27,2017,1,4,2.47409433469171,1.8946093482833,2017-08-02,2017-08-05
agg_prov-08_cluster-27,2018,1,5,0.893698322916237,1.44946269752667,2018-08-01,2018-08-05
agg_prov-08_cluster-27,2019,1,3,2.19756428095847,0.586946128904022,2019-06-29,2019-07-01
agg_prov-08_cluster-27,2021,1,4,2.73215876550809,1.38036977185943,2021-08-12,2021-08-15
agg_prov-08_cluster-27,2022,4,17,2.90800238254369,1.63016423214809,2022-06-16,2022-08-14
agg_prov-08_cluster-27,2023,1,7,3.02941018743498,2.5951419248383,2023-08-19,2023-08-25
agg_prov-08_cluster-27,2024,1,5,1.27532082220422,1.55392161249714,2024-08-08,2024-08-12
agg_prov-08_cluster-3,2006,1,3,2.02039093830304,0.995669493755599,2006-07-23,2006-07-25
agg_prov-08_cluster-3,2012,1,4,2.60471987887988,1.29287925278791,2012-08-20,2012-08-23
agg_prov-08_cluster-3,2015,2,7,3.08581347393238,0.983949481207749,2015-07-05,2015-07-18
agg_prov-08_cluster-3,2017,1,4,2.40280100895062,1.72240376216226,2017-08-02,2017-08-05
agg_prov-08_cluster-3,2018,1,7,1.41331017159111,1.37618164840084,2018-07-31,2018-08-06
agg_prov-08_cluster-3,2022,5,23,2.04038823368323,1.69003986309431,2022-06-16,2022-08-13
agg_prov-08_cluster-3,2023,1,6,3.56835614713025,3.05444174862188,2023-08-20,2023-08-25
agg_prov-08_cluster-3,2024,1,6,1.25597556055622,1.60040770012401,2024-08-05,2024-08-10
agg_prov-08_cluster-4,2015,1,4,0.454920148388865,1.73365013824717,2015-07-21,2015-07-24
agg_prov-08_cluster-4,2017,1,3,1.67451921761517,1.32864304272001,2017-08-03,2017-08-05
agg_prov-08_cluster-4,2018,1,8,2.02928159558491,1.84872388642404,2018-07-30,2018-08-06
agg_prov-08_cluster-4,2020,2,6,1.28815369102061,0.599909197417579,2020-07-31,2020-08-11
agg_prov-08_cluster-4,2021,1,5,2.393063613717,1.04304719464707,2021-08-12,2021-08-16
agg_prov-08_cluster-4,2022,3,26,2.30636395722767,1.69144866273147,2022-07-15,2022-08-14
agg_prov-08_cluster-4,2023,1,11,2.19616637412763,2.09807895714515,2023-08-15,2023-08-25
agg_prov-08_cluster-4,2024,1,13,1.02245520242109,1.2958615667935,2024-08-01,2024-08-13
agg_prov-08_cluster-5,2012,1,4,2.11478216075876,1.56673114715996,2012-08-20,2012-08-23
agg_prov-08_cluster-5,2015,2,9,4.06010903851842,1.1367231905989,2015-07-05,2015-07-18
agg_prov-08_cluster-5,2017,1,4,2.01829799410486,1.92883659183939,2017-08-02,2017-08-05
agg_prov-08_cluster-5,2018,1,6,1.0460754433746,1.69347222151286,2018-08-01,2018-08-06
agg_prov-08_cluster-5,2019,1,3,2.99196876629374,1.31488129604196,2019-06-29,2019-07-01
agg_prov-08_cluster-5,2020,1,3,0.475272447935045,0.982902418972609,2020-08-08,2020-08-10
agg_prov-08_cluster-5,2021,1,4,3.70577239304023,1.89286679431343,2021-08-12,2021-08-15
agg_prov-08_cluster-5,2022,4,21,2.42195919010476,1.66060096672212,2022-06-15,2022-08-14
agg_prov-08_cluster-5,2023,1,8,2.83790372003703,2.68937373516953,2023-08-18,2023-08-25
agg_prov-08_cluster-5,2024,1,5,1.30841461969711,1.51307613378274,2024-08-08,2024-08-12
agg_prov-08_cluster-6,2012,1,6,3.31900055742473,1.818432776533,2012-08-18,2012-08-23
agg_prov-08_cluster-6,2017,1,4,1.87748250090628,1.08928467749959,2017-08-02,2017-08-05
agg_prov-08_cluster-6,2022,1,10,1.99989378742409,1.25336811480199,2022-07-16,2022-07-25
agg_prov-08_cluster-6,2023,1,6,2.46701627813855,1.53819026072255,2023-08-20,2023-08-25
agg_prov-08_cluster-6,2024,1,3,0.932276269599261,0.937478624825947,2024-08-08,2024-08-10
agg_prov-08_cluster-7,2012,1,3,1.2259540374161,1.09102507365657,2012-08-22,2012-08-24
agg_prov-08_cluster-7,2015,1,4,0.635938584447572,0.908432579354411,2015-07-15,2015-07-18
agg_prov-08_cluster-7,2017,1,4,2.64280041270902,1.88871237572998,2017-08-02,2017-08-05
agg_prov-08_cluster-7,2018,1,7,1.40843255655621,1.53424423314017,2018-07-31,2018-08-06
agg_prov-08_cluster-7,2019,1,3,2.24977882684093,0.448112178676581,2019-06-29,2019-07-01
agg_prov-08_cluster-7,2020,1,3,0.16801925232708,0.762072234041208,2020-08-09,2020-08-11
agg_prov-08_cluster-7,2021,1,4,3.29860347630226,1.32230269461688,2021-08-12,2021-08-15
agg_prov-08_cluster-7,2022,3,21,2.42402402964553,1.89580406164311,2022-07-15,2022-08-14
agg_prov-08_cluster-7,2023,1,7,3.35977550674007,2.75649693560963,2023-08-19,2023-08-25
agg_prov-08_cluster-7,2024,1,7,1.16732790732918,1.281879401494,2024-08-06,2024-08-12
agg_prov-08_cluster-8,2012,1,6,3.02954315951387,1.81170447961398,2012-08-18,2012-08-23
agg_prov-08_cluster-8,2017,1,4,2.2879257806872,1.32981694279106,2017-08-02,2017-08-05
agg_prov-08_cluster-8,2019,1,3,2.57657053238069,0.540883324932262,2019-06-29,2019-07-01
agg_prov-08_cluster-8,2021,1,4,3.26846897284712,1.25767523135667,2021-08-12,2021-08-15
agg_prov-08_cluster-8,2022,1,7,2.39638859379968,0.937477159538535,2022-07-16,2022-07-22
agg_prov-08_cluster-8,2023,1,6,3.08529283677876,1.92286191555837,2023-08-20,2023-08-25
agg_prov-08_cluster-8,2024,1,3,1.23679586936527,1.04530957889511,2024-08-08,2024-08-10
agg_prov-08_cluster-9,2012,1,4,1.51841649584803,0.980848454098393,2012-08-20,2012-08-23
agg_prov-08_cluster-9,2017,1,5,1.49902544060922,1.77024957467186,2017-08-01,2017-08-05
